Pos.;Jogador;Seleção;Gols;Jogos;Torneios
1;Miroslav Klose;Alemanha;16;24;2002, 2006, 2010, 2014
2;Ronaldo;Brasil;15;19;1994, 1998, 2002, 2006
3;Gerd Müller;Alemanha;14;13;1970, 1974
4;Just Fontaine;França;13;6;1958
5;Pelé;Brasil;12;14;1958, 1962, 1966, 1970
6;Sándor Kocsis;Hungria;11;5;1954
6;Jürgen Klinsmann;Alemanha;11;17;1990, 1994, 1998
8;Helmut Rahn;Alemanha;10;10;1954, 1958
8;Gary Lineker;Inglaterra;10;12;1986, 1990
8;Gabriel Batistuta;Argentina;10;12;1994, 1998, 2002
8;Teófilo Cubillas;Peru;10;13;1970, 1978, 1982
8;Thomas Müller;Alemanha;10;14;2010, 2014, 2018
8;Grzegorz Lato;Polónia;10;20;1974, 1978, 1982
14;Ademir de Menezes;Brasil;9;6;1950
14;Eusébio;Portugal;9;6;1966
14;Christian Vieri;Itália;9;9;1998, 2002
14;Vavá;Brasil;9;10;1958, 1962
14;David Villa;Espanha;9;12;2006, 2010, 2014
14;Paolo Rossi;Itália;9;14;1978, 1982, 1986
14;Jairzinho;Brasil;9;16;1966, 1970, 1974
14;Roberto Baggio;Itália;9;16;1990, 1994, 1998
14;Karl-Heinz Rummenigge;Alemanha;9;19;1978, 1982, 1986
14;Uwe Seeler;Alemanha;9;21;1958, 1962, 1966, 1970
24;Guillermo Stábile;Argentina;8;4;1930
24;Leônidas da Silva;Brasil;8;5;1934, 1938
24;Óscar Míguez;Uruguai;8;7;1950, 1954
24;Rivaldo;Brasil;8;14;1998, 2002
24;Rudi Völler;Alemanha;8;15;1986, 1990, 1994
24;Diego Maradona;Argentina;8;21;1982, 1986, 1990, 1994
30;Old?ich Nejedlý;República Checa;7;6;1934, 1938
30;Lajos Tichy;Hungria;7;8;1958, 1962, 1966
30;Careca;Brasil;7;9;1986, 1990
30;Luis Suárez;Uruguai;7;13;2010, 2014, 2018
30;Andrzej Szarmach;Polónia;7;13;1974, 1978, 1982
30;Johnny Rep;Holanda;7;13;1974, 1978
30;Hans Schäfer;Alemanha;7;15;1954, 1958, 1962
30;Cristiano Ronaldo;Portugal;7;17;2006, 2010, 2014, 2018
38;Josef Hügi;Suíça;6;3;1954
38;Oleg Salenko;Rússia;6;3;1994
38;Max Morlock;Alemanha;6;5;1954
38;Erich Probst;Áustria;6;5;1954
38;György Sárosi;Hungria;6;5;1934, 1938
38;Harry Kane;Inglaterra;6;6;2018
38;Salvatore Schillaci;Itália;6;7;1990
38;Davor Šuker;Croácia;6;8;1990, 1998, 2002
38;James Rodríguez;Colômbia;6;8;2014, 2018
38;Helmut Haller;Alemanha;6;9;1962, 1966, 1970
38;Neymar;Brasil;6;10;2014, 2018
38;Hristo Stoichkov;Bulgária;6;10;1994, 1998
38;Diego Forlán;Uruguai;6;10;2002, 2010, 2014
38;Asamoah Gyan;Gana;6;11;2006, 2010, 2014
38;Dennis Bergkamp;Holanda;6;12;1994, 1998
38;Rob Rensenbrink;Holanda;6;13;1974, 1978
38;Rivellino;Brasil;6;15;1970, 1974, 1978
38;Bebeto;Brasil;6;15;1990, 1994, 1998
38;Arjen Robben;Holanda;6;15;2006, 2010, 2014
38;Zbigniew Boniek;Polónia;6;16;1978, 1982, 1986
38;Thierry Henry;França;6;17;1998, 2002, 2006, (2010)
38;Wesley Sneijder;Holanda;6;17;2006, 2010, 2014
38;Robin van Persie;Holanda;6;17;2006, 2010, 2014
38;Mario Kempes;Argentina;6;18;1974, 1978, 1982
38;Lionel Messi;Argentina;6;19;2006, 2010, 2014, 2018
38;Lothar Matthäus;Alemanha;6;25;1982, 1986, 1990, 1994, 1998
64;Pedro Cea;Uruguai;5;4;1930
64;Silvio Piola;Itália;5;4;1938
64;Gyula Zsengellér;Hungria;5;4;1938
64;Peter McParland;Irlanda do Norte;5;5;1958
64;Tomáš Skuhravý;República Checa;5;5;1990
64;Juan Alberto Schiaffino;Uruguai;5;6;1950, 1954
64;Geoff Hurst;Inglaterra;5;6;1966, 1970
64;Jon Dahl Tomasson;Dinamarca;5;6;2002, 2010
64;Alessandro Altobelli;Itália;5;7;1982, 1986
64;Kennet Andersson;Suécia;5;7;1994
64;Fernando Morientes;Espanha;5;7;1998, 2002
64;Romário;Brasil;5;8;1990, 1994
64;Mario Mandžuki?;Croácia;5;8;2014,2018
64;Marc Wilmots;Bélgica;5;8;1990, 1994, 1998, 2002
64;Tim Cahill;Austrália;5;9;2006, 2010, 2014, 2018
64;Valentin Ivanov;União Soviética;5;9;1958, 1962
64;Roger Milla;Camarões;5;9;1982, 1990, 1994
64;Emilio Butragueño;Espanha;5;9;1986, 1990
64;Romelu Lukaku;Bélgica;5;10;2014, 2018
64;Ivan Periši?;Croácia;5;10;2014, 2018
64;Hans Krankl;Áustria;5;10;1978, 1982
64;Raúl;Espanha;5;11;1998, 2002, 2006
64;Garrincha;Brasil;5;12;1958, 1962, 1966
64;Johan Neeskens;Holanda;5;12;1974, 1978
64;Fernando Hierro;Espanha;5;12;1990, 1994, 1998, 2002
64;Zinédine Zidane;França;5;12;1998, 2002, 2006
64;Landon Donovan;Estados Unidos;5;12;2002, 2006, 2010
64;Gonzalo Higuaín;Argentina;5;13;2010, 2014, 2018
64;Henrik Larsson;Suécia;5;13;1994, 2002, 2006
64;Michel Platini;França;5;14;1978, 1982, 1986
64;Zico;Brasil;5;14;1978, 1982, 1986
64;Edinson Cavani;Uruguai;5;14;2010, 2014, 2018
64;Lukas Podolski;Alemanha;5;15;2006, 2010, 2014
64;Franz Beckenbauer;Alemanha;5;18;1966, 1970, 1974
